x,y,type,image
172,871,empty,9
158,895,empty,9
200,879,empty,9
203,898,empty,9
244,889,empty,9
271,858,empty,9
285,886,empty,9
275,811,empty,9
255,848,empty,9
326,818,empty,9
316,861,empty,9
325,891,empty,9
405,828,empty,9
363,867,empty,9
297,775,full,9
350,768,full,9
201,673,full,10
240,740,full,10
201,748,full,10
244,777,full,10
274,813,full,10
226,904,full,10
254,880,full,10
304,896,full,10
353,879,full,10
430,926,full,10
452,884,full,10
368,586,full,10
324,536,full,10
306,551,partial,10
169,618,empty,10
177,651,empty,10
290,566,empty,10
342,562,empty,10
337,587,empty,10
379,635,empty,10
277,763,empty,10
310,806,empty,10
354,790,empty,10
242,847,empty,10
193,918,empty,10
254,919,empty,10
279,917,empty,10
346,894,empty,10
362,915,empty,10
388,838,empty,10
336,504,full,11
341,625,full,11
373,643,full,11
361,652,full,11
350,666,full,11
309,676,full,11
284,696,full,11
399,664,full,11
447,637,full,11
258,844,full,11
253,865,full,11
312,845,full,11
518,822,partial,11
323,881,partial,11
300,835,partial,11
238,696,partial,11
348,687,partial,11
487,843,partial,11
492,744,partial,11
351,467,partial,11
436,799,empty,11
333,859,empty,11
502,854,empty,11
392,618,empty,11
366,601,empty,11
314,644,empty,11
419,655,empty,11
415,635,partial,11
288,817,partial,11
189,705,partial,12
214,702,partial,12
211,783,partial,12
158,751,partial,12
225,828,partial,12
349,886,partial,12
315,909,empty,12
159,927,empty,12
445,932,empty,12
486,919,empty,12
158,701,full,12
188,744,full,12
189,789,full,12
226,746,full,12
256,775,full,12
241,720,full,12
250,821,full,12
268,802,full,12
271,844,full,12
297,800,full,12
326,800,full,12
313,846,full,12
250,878,full,12
276,880,full,12
280,897,full,12
188,899,full,12
167,877,full,12
433,893,full,12
346,860,partial,12
286,746,partial,12
355,656,empty,13
392,700,empty,13
410,674,empty,13
494,664,empty,13
454,736,empty,13
492,754,empty,13
501,783,empty,13
441,807,empty,13
409,769,empty,13
365,767,empty,13
329,791,empty,13
265,856,empty,13
334,838,empty,13
346,878,empty,13
366,823,empty,13
374,863,empty,13
393,818,empty,13
405,864,empty,13
439,873,empty,13
468,840,empty,13
516,823,empty,13
540,810,empty,13
576,823,empty,13
572,853,empty,13
433,753,full,13
303,757,full,14
519,799,full,14
447,815,full,14
423,841,full,14
463,881,full,14
484,833,full,14
540,873,full,14
560,796,full,14
582,847,full,14
576,900,full,14
325,826,partial,14
305,898,partial,14
332,879,partial,14
350,857,partial,14
389,860,partial,14
409,873,partial,14
386,904,partial,14
424,902,partial,14
455,857,partial,14
519,847,partial,14
487,911,partial,14
482,898,partial,14
448,910,empty,14
513,878,empty,14
543,918,empty,14
578,511,empty,14
552,828,partial,14
253,747,empty,15
248,711,empty,15
276,702,empty,15
311,750,empty,15
315,717,empty,15
350,743,empty,15
369,748,empty,15
395,709,empty,15
400,750,empty,15
411,768,empty,15
426,776,empty,15
445,783,empty,15
445,825,empty,15
437,844,empty,15
419,869,empty,15
368,863,empty,15
381,827,empty,15
332,843,empty,15
302,813,empty,15
282,863,empty,15
306,890,empty,15
350,897,empty,15
461,886,empty,15
477,836,empty,15
520,914,empty,15
289,765,full,15
304,798,full,15
345,788,full,15
351,812,full,15
380,781,full,15
293,664,full,16
322,637,full,16
327,674,full,16
365,637,full,16
367,676,full,16
376,690,full,16
339,704,full,16
365,751,full,16
390,718,full,16
404,668,full,16
410,712,full,16
395,753,full,16
412,771,full,16
433,735,full,16
426,696,full,16
452,718,full,16
461,757,full,16
441,774,full,16
456,796,full,16
467,821,full,16
492,775,full,16
496,750,full,16
528,788,full,16
564,789,full,16
560,755,full,16
541,829,full,16
489,804,partial,16
412,801,empty,16
438,655,empty,16
351,742,empty,17
402,759,empty,17
300,835,empty,17
233,875,empty,17
286,808,full,17
323,799,full,17
333,774,full,17
362,777,full,17
386,781,full,17
377,814,full,17
310,780,full,18
359,749,full,18
379,718,full,18
428,747,full,18
490,702,full,18
517,691,full,18
557,663,full,18
539,863,full,18
427,711,full,18
563,888,empty,18
396,873,empty,18
505,784,empty,18
296,891,empty,18
256,891,empty,18
228,881,empty,18
234,835,empty,18
282,791,empty,18
329,725,empty,18
391,737,empty,18
402,701,empty,18
445,674,empty,18
464,667,empty,18
479,646,empty,18
503,628,empty,18
525,668,empty,18
544,646,empty,18
550,690,empty,18
475,734,empty,18
453,715,empty,18
